label,media,date,longText,major,important,gaming,drawing,collab,video
【DEBUT STREAM】Hi!🐙 #hololiveEnglish #holoMyth,https://i3.ytimg.com/vi/ujCxiHpVYmg/maxresdefault.jpg,9/12/2020,"Where everything began. Looking back at what you wanted to achieve, you've definitely made a lot of progress, and made good on a lot of your goals! Let's accomplish a lot this year as well!",TRUE,TRUE,FALSE,FALSE,FALSE,https://www.youtube.com/watch?v=ujCxiHpVYmg
【COLLAB】The Interrogation Begins.... #hololiveEnglish #holoMyth,https://i3.ytimg.com/vi/zkbXdXbs8vk/maxresdefault.jpg,9/12/2020,"The first full HoloMyth collab, right on the day of debut! The tiny doodles on your board will never not be adorable. And you won your very first golden YAGOO! What even happened with the points...?",FALSE,TRUE,FALSE,FALSE,TRUE,https://www.youtube.com/watch?v=zkbXdXbs8vk
【CHAT+DOODLE】Let's Draw HoloEN!!,https://i3.ytimg.com/vi/SmEGHvxZGH8/maxresdefault.jpg,9/13/2020,"Your very first drawing stream, and the first stream on your channel after debut! We still marvel at how you draw and chat with us at the same time.",FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=SmEGHvxZGH8
【CALL OF CTHULU】 New Phone Who Dis #TAKOTIME #hololiveEnglish #holoMyth,https://i3.ytimg.com/vi/0BgP7rXJSJg/maxresdefault.jpg,9/14/2020,"The first game stream on your channel! A truly unforgettable experience, but somehow we don't remember the Arkham Editions...",FALSE,FALSE,TRUE,FALSE,FALSE,https://www.youtube.com/watch?v=0BgP7rXJSJg
【CHAT】Thank you!!!,https://i3.ytimg.com/vi/K7rQRj-jcdU/maxresdefault.jpg,9/18/2020,"Barely a week in and your channel received monetization! Lots of superchats and 10Qs all around, and you sung us your favorite Aimer song! Also delicious fire noodles...",TRUE,TRUE,FALSE,FALSE,FALSE,https://www.youtube.com/watch?v=K7rQRj-jcdU
【COLLAB】Arknights waifu ranking with Ninomae Ina’nis #takotime #kfp #キアライブ,https://i3.ytimg.com/vi/BEiVBJ0RuBE/maxresdefault.jpg,9/22/2020,"Your first one-on-one collab, in which you rank your favorite waifus of Arknights with Kiara! APPLE PIE.",FALSE,FALSE,FALSE,FALSE,TRUE,https://www.youtube.com/watch?v=BEiVBJ0RuBE
【LET'S WATCH】Color Out of Space Watchalong!,https://img.youtube.com/vi/uDEGyaTeapc/maxresdefault.jpg,9/24/2020,"Your very first watchalong! We definitely had our sanity tested this stream, but this is a movie that has stood the test of time--we still reference it to this day!",TRUE,FALSE,FALSE,FALSE,FALSE,https://www.youtube.com/watch?v=uDEGyaTeapc
【DRAWING】!!!!!,https://img.youtube.com/vi/WRr6UHAFTQY/maxresdefault.jpg,9/29/2020,"Although the memberships were delayed, we still had a great time during your first ever emote-drawing stream! Takos couldn't wait to use these emotes in YouTube Chat!",FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=WRr6UHAFTQY
【Call of Cthulhu】Creative Title #325,https://i3.ytimg.com/vi/q4xp4XvxAfY/maxresdefault.jpg,9/30/2020,The day your memberships opened--finally we understood how we would evolve from our void forms! Still didn't expect to find the key to the boiler room here...,TRUE,TRUE,TRUE,FALSE,FALSE,https://www.youtube.com/watch?v=q4xp4XvxAfY
【DRAWING】Time ART-tack!!!!?!,https://i3.ytimg.com/vi/CscBB82hvaE/maxresdefault.jpg,10/5/2020,"An absolutely adorable illustration of Fubuki, drawn for her birthday! You're one step closer to drawing everybody in Hololive! As always, thank you for all the wonderful art tips!",FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=CscBB82hvaE
【DRAWING】Gesture Drawing + Doodle #1,https://i3.ytimg.com/vi/ilE_78nVEOA/maxresdefault.jpg,10/11/2020,"Today marks the founding of Inacademy! Perhaps if we continue to study with you, we can graduate with our drawing degrees someday... (we also got the first stream that started without a loading screen)",FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=ilE_78nVEOA
[MINECRAFT] HOLO EN SERVER #HololiveEnglish,https://i3.ytimg.com/vi/NS3_sNTwIRw/maxresdefault.jpg,10/11/2020,"The first collab stream on the HoloEN minecraft server! You all spent quite a bit of time in that tunnel... It turned out great in the end, though!",FALSE,FALSE,TRUE,FALSE,TRUE,https://www.youtube.com/watch?v=NS3_sNTwIRw
【COLLAB】There is Pasta Among Us,https://i3.ytimg.com/vi/9YstLjaAuE4/maxresdefault.jpg,10/24/2020,The first collab with NePoLaBo and HoloMyth playing Among Us--this is the very first time we learnt that Ina is actually a yandere (somewhat)! Also the beginning of a love story between a seal and tako... ,TRUE,TRUE,TRUE,FALSE,TRUE,https://www.youtube.com/watch?v=9YstLjaAuE4
